I,CO2EII,PUBLISHING,1,STATIONNAME,DUID,GENSETID,REGIONID,CO2E_EMISSIONS_FACTOR,CO2E_ENERGY_SOURCE,CO2E_DATA_SOURCE
D,CO2EII,PUBLISHING,1,Bell Bay Three Power Station,BBTHREE2,BBTHREE2,TAS1,0.709,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Bell Bay Three Power Station,BBTHREE3,BBTHREE3,TAS1,0.709,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Bell Bay Three Power Station,TVPP104,TVPP104,TAS1,0.709,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,LONGFORD PLANT,LONGFORD,LONGFORD,VIC1,0.709,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,BRAEMAR 2 POWER STATION,BRAEMAR7,BRAEMAR7,QLD1,0.68,Coal seam methane,NTNDP
D,CO2EII,PUBLISHING,1,BRAEMAR 2 POWER STATION,BRAEMAR5,BRAEMG5,QLD1,0.68,Coal seam methane,NTNDP
D,CO2EII,PUBLISHING,1,Braemar Power Station,BRAEMAR1,BRAEMAR1,QLD1,0.68,Coal seam methane,NTNDP
D,CO2EII,PUBLISHING,1,Braemar Power Station,BRAEMAR2,BRAEMAR2,QLD1,0.68,Coal seam methane,NTNDP
D,CO2EII,PUBLISHING,1,Braemar Power Station,BRAEMAR3,BRAEMAR3,QLD1,0.68,Coal seam methane,NTNDP
D,CO2EII,PUBLISHING,1,Braemar Power Station,BRAEMAR5,BRAEMAR5,QLD1,0.68,Coal seam methane,NTNDP
D,CO2EII,PUBLISHING,1,Braemar Power Station,BRAEMAR6,BRAEMAR6,QLD1,0.68,Coal seam methane,NTNDP
D,CO2EII,PUBLISHING,1,KRC Cogeneration Plant Power Station,KRCCOGEN,KRCCOGEN,QLD1,0.68,Natural Gas (Pipeline),NTNDP
