plant_id,company_id,TYPE,CAPACITY,name,carbon_2000,carbon_2007,carbon_nextdecade,energy_2000,energy_2007,energy_nextdecade,intensity_2000,intensity_2007,intensity_nextdecade,perc_cap,country,iso3,state,city_name,latitude,longitude
48688,ALCOA OF AUSTRALIA,0,0,WAGERUP,120047,130212,135509,199093,217335,226888,1206,1198,1195,Oceania,Australia,AUS,Western Australia,Wagerup,-32.92,115.88
24676,SNOWY HYDRO LTD,Gas Turbine,320,LAVERTON NORTH,0,128507,183684,0,214268,315002,0,1200,1166,Oceania,Australia,AUS,Victoria,Laverton,-37.85,144.75
44035,ERARING ENERGY,0,0,SYDNEY,0,0,0,229010,211816,211816,0,0,0,Oceania,Australia,AUS,New South Wales,Sydney,-33.88334,151.2167
11360,SYNERGEN POWER PTY LTD,Gas Turbine,156,DRY CREEK,116133,125567,163612,191494,208317,277256,1213,1206,1180,Oceania,Australia,AUS,South Australia,Dry Creek,-36.95,145.85
50407,QUEENSLAND NICKEL PTY LTD,0,0,YABULU REFINERY,293517,313787,316812,182848,196702,198776,3211,3190,3188,Oceania,Australia,AUS,Queensland,Townsville,-19.26,146.78
46266,HYDRO TASMANIA,0,0,TREVALLYN,0,0,0,209225,193516,193516,0,0,0,Oceania,Australia,AUS,Tasmania,0,0,0
35372,ALINTA ENERGY,0,0,PORT HEDLAND,103145,116640,130167,169029,193004,217254,1220,1209,1198,Oceania,Australia,AUS,Western Australia,Port Hedland,-20.31667,118.5667
21760,TRANSFIELD SERVICES PTY LTD,0,0,KEMERTON,0,112063,149406,0,184847,252086,0,1212,1185,Oceania,Australia,AUS,Western Australia,Kemerton,0,0
44667,HYDRO TASMANIA,0,0,TARRALEAH,0,0,0,189439,175215,175215,0,0,0,Oceania,Australia,AUS,Tasmania,Tarraleah,-42.3,146.4
24880,SOUTHERN CROSS ENERGY,0,0,LEINSTER MINE SCE,98604,106606,109683,161018,175155,180616,1225,1217,1215,Oceania,Australia,AUS,Western Australia,Leinster,0,0
7759,HYDRO TASMANIA,0,0,CETHANA,0,0,0,178914,165481,165481,0,0,0,Oceania,Australia,AUS,Tasmania,Cethana,-41.48333,146.1667
7027,ROBE RIVER IRON ASSOCIATES,0,0,CAPE LAMBERT,93702,101059,104279,151866,164764,170424,1234,1227,1224,Oceania,Australia,AUS,Western Australia,Cape Lambert,-20.58,117.17
49171,COMALCO MINERALS & ALUMINA,0,0,WEIPA KAOLIN PLANT,213406,235895,240248,139307,164375,170288,3064,2870,2822,Oceania,Australia,AUS,Queensland,Weipa,-12.67,141.87
46281,HYDRO TASMANIA,0,0,TRIBUTE,0,0,0,176809,163534,163534,0,0,0,Oceania,Australia,AUS,Tasmania,0,0,0
25142,HYDRO TASMANIA,0,0,LIAPOOTAH,0,0,0,176178,162950,162950,0,0,0,Oceania,Australia,AUS,Tasmania,0,0,0
3299,QLD POWER TRADING (ENERTRADE),0,0,BARCALDINE,78281,84517,86907,151262,162629,166793,1035,1039,1042,Oceania,Australia,AUS,Queensland,Barcaldine,-23.56667,145.2833
34733,CSR SUGAR,0,0,PIONEER MILL,0,0,0,0,160444,160444,0,0,0,Oceania,Australia,AUS,Queensland,Ayr,-19.58333,147.4
